,,Total Short,Selling Turno,ver         Total,Turnover
CODE,NAME OF STOCK,(SH),($),(SH),($)
3836,HARMONY AUTO,3000,9040,1029500,3100505
3883,CHINA AOYUAN,220000,1075090,7425000,36558121
3888,KINGSOFT,2477000,33524060,13172805,178153523
3898,CRRC TIMES ELEC,68800,3002370,1904660,82764499
3899,CIMC ENRIC,24000,158080,2022000,13335480
3900,GREENTOWN CHINA,100500,627615,3342236,20872314
3908,CICC,935600,14496512,3999902,62022994
3918,NAGACORP,36000,315660,2811886,24566203
3933,UNITED LAB,178000,959920,3834000,20973400
3958,DFZQ,12400,68984,1344000,7426880
3968,CM BANK,7773000,264792950,27176572,925525815
3969,CHINA CRSC,579000,3295950,3142212,17759165
3988,BANK OF CHINA,107321000,372910040,342281769,1189807074
3993,CMOC,1077000,3569670,18839005,61932564
3996,CH ENERGY ENG,2000,1940,1298000,1263280
3998,BOSIDENG,332000,488740,27467991,39828008
6030,CITIC SEC,3945000,60575980,25371786,389116446
6060,ZA ONLINE,250700,8359170,2158378,71806923
6066,CSC,81000,404980,2108000,10527648
6068,WISDOM EDU INTL,606000,1971620,3324000,10898850
6088,FIT HON TENG,437000,1491850,2136528,7336073
6098,CG SERVICES,252000,3322540,10088545,133251548
6099,CMSC,440800,4906040,1017400,11309012
6100,TALENT LIEPIN,47800,1432500,305200,9144480
6138,HARBIN BANK,4000,7400,114000,206070
6158,ZHENRO PPT,3000,15220,3816000,19127940
6169,YUHUA EDU,210000,711000,10278000,34727640
6178,EB SECURITIES,11400,88530,173400,1347120
6198,QINGDAO PORT,31000,143880,210000,981151
6808,SUNART RETAIL,1691500,15311955,8209280,74290091
6818,CEB BANK,1091000,3932830,8625446,30865010
6823,HKT-SS,778000,8785540,17837708,200977337
6828,BG BLUE SKY,2624000,658944,112170100,28294363
6837,HAITONG SEC,13901200,123889120,39968782,356237441
6858,HONMAGOLF,29000,238035,989000,8126080
6869,YOFC,911500,21334425,5510121,128431615
6878,DIFFER GROUP,52000,25740,2058000,1018720
6881,CGS,5680000,25066015,24972752,110063215
6886,HTSC,1120800,15203788,10941086,148341682
7200,FL2 CSOP HSI,5773300,54756616,11073700,105127049
7228,FL2SAMSUNGHSCEI,4600,31624,328800,2257958
7288,FL2 CSOP HSCEI,784000,6431433,1553800,12763778
7300,FI CSOP HSI,11214300,63379183,22491800,127150746
7321,FICAMDXNHSI,500000,3150000,820400,5156263
7388,FI CSOP HSCEI,337300,2003062,978600,5811156
% 9115,ISHARESHSI-U,5740,73740,56450,724934
% 9140,VANGUARDSP500-U,2500,6350,5000,12720
%82822,CSOP A50 ETF-R,1523800,17086256,2192400,24594124
%83053,CSOP HKD MM-R,1000,880550,1000,880550
%83155,ISHARESES50-R,5000,40900,20000,163500
%83188,CAM CSI300-R,167400,5579080,259000,8627030
